id,name,address,developer,status,decision,top_score,candidate_ids,candidate_name,candidate_address,candidate_developer,candidate_status,candidate_lat,candidate_lng,candidate_occurrences,candidate_sources
OBJ-0143,"Деловой комплекс на территории грузового двора ""Москва-Товарная-рязанская""","г. Москва, Спартаковская площадь, 1/7с16",Новая эра,Проектный,NO_MATCH,54.1,proj-48,Flexity (Павелецкая Плаза (А)),"Павелецкая площадь, 2",Flexity,Не установлен,55.713228,37.64736,1,all_projects_layer
OBJ-0146,Офисно-складской комплекс на 60-летия Октября,"г. Москва, проспект 60-летия Октября, 11Ас5",Хоумсклад,Проектный,REVIEW,76.0,OBJ-0199,Insolver на Проспекте 60-летия Октября,"проспект 60-летия Октября, 5А, Москва",Insolver,Проектный,55.704016,37.580815,1,future_projects_existing
OBJ-0240,БЦ Artel,,Artel,Проектный,NO_MATCH,0,,,,,,,,,
OBJ-0241,БЦ MR 1,,,Не определён,NO_MATCH,0,,,,,,,,,
OBJ-0242,БЦ MR 2,,,Не определён,NO_MATCH,0,,,,,,,,,
OBJ-0244,БЦ Springs,"Москва, ул. Малая Филёвская, 46",ООО СЗ «Спрингс» / UNIQ Development,Строящийся,REVIEW,78.5,OBJ-0222,STONE Пионерская,ул. Малая Филевская,STONE,Проектный,55.737223,37.471039,1,future_projects_existing
OBJ-0245,БЦ Unikey,,,Не определён,NO_MATCH,47.1,OBJ-0042,Dubinin'SKY,Ул. Дубининская вл.39-41,Галс-Девелопмент,Строящийся,55.723851,37.637272,1,future_projects_existing
OBJ-0246,БЦ А101,,,Строящийся,NO_MATCH,0,,,,,,,,,
OBJ-0255,БЦ Крост,,,Не определён,NO_MATCH,49.2,OBJ-0399,Кристалл,"Самокатная, 4",Asterus,Проектный,55.755986,37.677328,1,future_projects_existing
OBJ-0256,БЦ ЛСР,,ЛСР,Не определён,NO_MATCH,0,,,,,,,,,
